channelTitle,title,publishedAt,viewCount,likeCount,commentCount,pushblishDayName,durationSecs,Month,Year,durationMins,durationHours
BaBaLa TV,#MüstakbelDamat Film Müziği / #Gripin - #Dillirga / 11.11.2022'de Tüm Sinemalarda!.. #shorts,2022-10-27 09:31:20+00:00,89802,1648,19,Thursday,60.0,Oct,2022,1.0,0.02
BaBaLa TV,Gripin - Dillirga ( Müstakbel Damat Film Müziği ) Müstakbel Damat Sinemalarda!,2022-10-26 18:50:26+00:00,118590,2474,131,Wednesday,180.0,Oct,2022,3.0,0.05
BaBaLa TV,Mevzular Açık Mikrofon Özel | Sosyal Medya Yasası,2022-10-24 16:59:53+00:00,8352579,277054,20703,Monday,15315.0,Oct,2022,255.25,4.25
BaBaLa TV,Mevzular Açık Mikrofon Özel Tanıtım (Sosyal Medya Yasası),2022-10-19 19:36:40+00:00,2893372,201476,11051,Wednesday,443.0,Oct,2022,7.38,0.12
BaBaLa TV,Müstakbel Damat FRAGMAN | Sinemalarda!,2022-10-07 19:51:33+00:00,240742,4787,1580,Friday,173.0,Oct,2022,2.88,0.05
BaBaLa TV,Mevzular Açık Mikrofon 5. Bölüm | Gelecek Partisi Genel Başkanı Ahmet Davutoğlu,2022-10-06 16:59:25+00:00,7526033,139475,17547,Thursday,18885.0,Oct,2022,314.75,5.25
BaBaLa TV,Mevzular Açık Mikrofon Tanıtım I 5. Bölüm: Ahmet Davutoğlu (6 Ekim Perşembe Yayında),2022-09-27 07:29:33+00:00,2565228,79830,7977,Tuesday,574.0,Sep,2022,9.57,0.16
BaBaLa TV,Mevzular Açık Mikrofon 4. Bölüm I Genç Parti Kurucu Başkanı Cem Uzan,2022-09-22 18:07:56+00:00,9146285,172787,20304,Thursday,11526.0,Sep,2022,192.1,3.2
BaBaLa TV,Mevzular Açık Mikrofon Tanıtım I 4. Bölüm: Cem Uzan (Perşembe Yayında),2022-09-17 21:02:08+00:00,1521723,44756,2505,Saturday,226.0,Sep,2022,3.77,0.06
BaBaLa TV,Mevzular Açık Mikrofon 3. Bölüm I Memleket Partisi Genel Başkanı Muharrem İnce,2022-09-01 17:30:12+00:00,12393278,265820,30988,Thursday,8754.0,Sep,2022,145.9,2.43
BaBaLa TV,Mevzular Açık Mikrofon Tanıtım I 3. Bölüm: Muharrem İnce (Perşembe Yayında),2022-08-27 19:35:59+00:00,1411754,56294,4189,Saturday,276.0,Aug,2022,4.6,0.08
BaBaLa TV,Mevzular Açık Mikrofon 2. Bölüm I HDP Milletvekili Ömer Faruk Gergerlioğlu,2022-08-18 18:24:24+00:00,10748535,212881,52542,Thursday,13183.0,Aug,2022,219.72,3.66
BaBaLa TV,Mevzular Açık Mikrofon Tanıtım I 2. Bölüm: Ömer Faruk Gergerlioğlu (Perşembe Yayında),2022-08-14 20:00:15+00:00,1228919,49363,5282,Sunday,365.0,Aug,2022,6.08,0.1
BaBaLa TV,Mevzular Açık Mikrofon 1. Bölüm I Zafer Partisi Genel Başkanı Prof. Dr. Ümit Özdağ,2022-08-04 18:30:50+00:00,9358589,275798,47395,Thursday,8108.0,Aug,2022,135.13,2.25
BaBaLa TV,Mevzular Açık Mikrofon Tanıtım I İlk Konuk Ümit Özdağ (Perşembe Yayında),2022-08-01 20:08:32+00:00,598443,28970,3662,Monday,212.0,Aug,2022,3.53,0.06
BaBaLa TV,Aldatma Affedilir mi? Yeşim Salkım ve Gizem Salkım ile % Kaç #3 | Kadınlar Erkeklerden Çok Aldatıyor,2022-05-06 18:00:26+00:00,132797,1465,217,Friday,1671.0,May,2022,27.85,0.46
BaBaLa TV,"@cuneytozdemir @jahreinboss Hayvanlar Sokaklarda mı Yaşamalı, Barınaklarda mı? Yeşim & Gizem Salkım #2",2022-04-21 18:00:02+00:00,92187,1469,424,Thursday,2110.0,Apr,2022,35.17,0.59
BaBaLa TV,İlker Ayrık’la Gerçekler Acıdır #10 | Ejderya Kero vs Çiko Gülcan,2022-04-11 18:00:23+00:00,186836,5178,206,Monday,1624.0,Apr,2022,27.07,0.45
BaBaLa TV,Yüzde Kaç Geçinebiliyor? Yeşim Salkım ve Gizem Salkım ile % Kaç #1,2022-04-06 18:00:00+00:00,69536,1658,321,Wednesday,3961.0,Apr,2022,66.02,1.1
BaBaLa TV,"Mevzular 52 - Ukrayna-Rusya, Araç ve Amaç, İç Politika ve Melez Savaşlar",2022-04-03 16:00:17+00:00,1125327,42463,2826,Sunday,2830.0,Apr,2022,47.17,0.79
BaBaLa TV,İlker Ayrık’la Gerçekler Acıdır #9 | Lol Büşra vs Acıların Çocuğu Ege,2022-03-28 17:00:02+00:00,136853,4419,127,Monday,1602.0,Mar,2022,26.7,0.44
