title,Year,Month,viewCount,likeCount,commentCount,durationSecs
Kemal Kılıçdaroğlu İzmir'de konuşuyor...,2023,Mar,10425.0,129.0,37.0,1198.0
"1923'ten 2003'e, 80 yılda Türkiye iktisadi yönünü hangi şartlarda nasıl belirledi? | Gerçek Fikri ne",2023,Mar,751.0,12.0,3.0,3209.0
"Dünyaca ünlü müzisyen, aktivist Bob Geldof Ne Yapsak'ta | Ne Yapsak? - 19 Mart 2023",2023,Mar,393.0,4.0,3.0,1498.0
Felaketin Hikayesi - 19 Mart 2023,2023,Mar,424.0,7.0,2.0,2351.0
#CANLI - Cumhurbaşkanı Erdoğan Bandırma Bor Karbür Tesisi açılışında konuşuyor,2023,Mar,4636.0,42.0,14.0,1765.0
Cumhurbaşkanlığı adaylığı için başvurular başladı,2023,Mar,694.0,4.0,3.0,244.0
NASA neden yeni kostüm tasarladı? Dr. Umut Yıldız değerlendirdi,2023,Mar,535.0,6.0,1.0,774.0
Yeni haftada piyasaları ne bekliyor? Doç. Dr. Murat Turgut değerlendirdi,2023,Mar,557.0,3.0,2.0,644.0
Rus Lider Putin tutuklanır mı? Gizem Ösün aktardı,2023,Mar,1055.0,7.0,2.0,287.0
İttifakların seçim stratejisi ne olacak? Metehan Demir değerlendirdi,2023,Mar,1234.0,7.0,4.0,1445.0
3 yıl sonra kapılarını açan ITB Berlin turizm fuarında hangi ülkeler öne çıktı? | Airport - 19 Mart,2023,Mar,422.0,1.0,2.0,1482.0
Bir Dünya Lezzet Girne'de | 19 Mart 2023 -,2023,Mar,554.0,7.0,1.0,1983.0
Güçlendirilmiş Parlamenter Sistem'e geçiş mümkün olacak mı? | Olaylar ve Görüşler - 18 Mart 2023,2023,Mar,2427.0,18.0,8.0,15939.0
Ramazan sofrası kaç TL'ye kurulur? İrfan Donat değerlendirdi,2023,Mar,435.0,5.0,3.0,893.0
TOGG diğer araçlara karşı avantajları ne? Halil Okşit değerlendirdi,2023,Mar,6359.0,58.0,31.0,1744.0
Düşen ABD İHA'sı casusluk mu yapıyordu? Dr. Eray Güçlüer değerlendirdi,2023,Mar,1165.0,14.0,5.0,2224.0
MİT'ten Suriye'de nokta operasyon!,2023,Mar,1589.0,23.0,5.0,116.0
Sel felaketinin ardından Şanlıurfa'da son durum ne?,2023,Mar,747.0,14.0,3.0,98.0
Adıyaman ve Şanlıurfa'da sel felaketi: Kayıplar aranıyor!,2023,Mar,1121.0,23.0,9.0,150.0
Afet bölgesi için kuvvetli yağış uyarısı,2023,Mar,1438.0,20.0,2.0,103.0
Olaylar ve Görüşler'de seçim yarışındaki son durum konuşuluyor,2023,Mar,41080.0,183.0,107.0,5412.0
Vatandaş sorunları hangi ittifakın çözeceğini düşünüyor? Prof. Dr. Ersan Şen yanıtladı,2023,Mar,5826.0,46.0,44.0,423.0
Seçime 57 gün kala ittifakların stratejisi ne? Av. Mehmet Emin Ekmen yanıtladı,2023,Mar,1385.0,4.0,5.0,670.0
Olaylar ve Görüşler'de seçim yarışındaki son durum konuşuluyor,2023,Mar,9708.0,32.0,19.0,2247.0
"İttifaklarda genişleme stratejisi yarar mı, zarar mı? Ahmet Yelis yanıtladı",2023,Mar,891.0,4.0,3.0,503.0
Olaylar ve Görüşler'de seçim yarışındaki son durum konuşuluyor,2023,Mar,25720.0,81.0,114.0,2894.0
Seçime 57 gün kala vatandaşın gündeminde ne var? Serkan Özcan yanıtladı,2023,Mar,914.0,4.0,7.0,769.0
"Mansur Yavaş'ın ""2 Yardımcı Olalım"" çıkışı nasıl değerlendirilmeli? İlyas Topsakal yanıtladı",2023,Mar,1190.0,7.0,5.0,584.0
Olaylar ve Görüşler'de seçim yarışındaki son durum konuşuluyor,2023,Mar,23923.0,69.0,28.0,4889.0
6’lı masada “2 Görev” Krizi mi? Ersan Şen yanıtladı,2023,Mar,7473.0,32.0,37.0,531.0
5 Lider Yavaş’ın çağrısına ne der? Cem Küçük yanıtladı,2023,Mar,11348.0,28.0,37.0,607.0
“1+2” formülüne dönüş mümkün mü? Av. Mehmet Emin Ekmen yanıtladı,2023,Mar,1340.0,5.0,1.0,586.0
ChatGPT avukatların yerini alır mı?,2023,Mar,618.0,4.0,2.0,125.0
Cumhurbaşkanı Yardımcısı Fuat Oktay açıklama yapıyor,2023,Mar,1425.0,3.0,2.0,617.0
Türkiye'de nüfus yaşlanıyor,2023,Mar,579.0,2.0,2.0,139.0
Selin ardından Şanlıurfa'da son durum ne? Gizem Türemen aktardı,2023,Mar,5693.0,16.0,8.0,434.0
"Çevre, Şehircilik ve İklim Değişikliği Bakanı Murat Kurum açıklama yapıyor...",2023,Mar,890.0,1.0,2.0,124.0
Omuz yırtığında tanı nasıl konur? | Şimdi Sağlık - 18 Mart 2023,2023,Mar,504.0,7.0,3.0,1300.0
#CANLI - Cumhurbaşkanı Erdoğan Çanakkale'de konuşuyor,2023,Mar,2857.0,21.0,16.0,1208.0
Çanakkale Zaferi nasıl kazanıldı? Dr. Naim Babüroğlu değerlendirdi,2023,Mar,1133.0,13.0,2.0,1181.0
Deprem bölgesinde sel tehlikesi sürüyor mu? Hüseyin Öztel aktardı?,2023,Mar,635.0,3.0,3.0,353.0
Mısır ile görüşmelerin ardından Türkiye ve Dünyayı neler bekliyor? Abdullah Ağar değerlendirdi,2023,Mar,2678.0,23.0,5.0,751.0
14 Mayıs'a ittifaklar nasıl gidiyor? Prof. Dr. Mehmet Şahin ve Nagehan Alçı değerlendirdi,2023,Mar,2098.0,4.0,12.0,1492.0
"Cumhurbaşkan Erdoğan, 18 Mart Anma ve Çanakkale Deniz Zaferi'nin 108. Yıl Dönümü Töreni'nde konuştu",2023,Mar,822.0,11.0,15.0,422.0
#CANLI - Cumhurbaşkanı Recep Tayyip Erdoğan Çanakkale'deki törende konuşuyor,2023,Mar,1038.0,11.0,8.0,381.0
6'lı Masa'nın liderleri Milletvekili olacak mı? | Olaylar ve Görüşler - 18 Mart 2023,2023,Mar,2327.0,11.0,8.0,10478.0
Anadolu tarihinin kahramanlaşmış krallarından olan Hekatomnos kimdi? | Tarihin İzinde - 18 Mart 2023,2023,Mar,824.0,10.0,2.0,1504.0
11 yıl sonra ilk ziyaret: Bakan Çavuşoğlu Mısır'da,2023,Mar,1269.0,13.0,9.0,1581.0
Spor yaparken nasıl beslenilmeli ve nelere dikkat edilmeli? | Doğal Olarak - 18 Mart 2023,2023,Mar,643.0,12.0,0.0,1676.0
#CANLI - Dışişleri Bakanı Mevlüt Çavuşoğlu ve mevkidaşı Şükri basın toplantısı düzenliyor,2023,Mar,3022.0,18.0,3.0,1455.0
