channelTitle,title,publishedAt,viewCount,likeCount,commentCount,pushblishDayName,durationSecs,Month,Year,durationMins,durationHours
A Haber,ABD Türkiye'nin izinde! Yaz saati uygulamasına geçiliyor,2022-03-16 08:14:05+00:00,2565,71,18,Wednesday,147.0,Mar,2022,2.45,0.04
A Haber,Ukrayna'da savaşı takip eden 2 gazeteci hayatını kaybetti,2022-03-16 06:45:00+00:00,2249,49,6,Wednesday,73.0,Mar,2022,1.22,0.02
A Haber,Kiev’de 2 apartman top mermileriyle vuruldu,2022-03-16 06:01:51+00:00,2100,42,5,Wednesday,129.0,Mar,2022,2.15,0.04
A Haber,Başkan Erdoğan’dan Kabine Toplantısı sonrası önemli açıklamalar! Rusya ve Ukrayna için yeni adım!,2022-03-15 18:10:40+00:00,4107,94,23,Tuesday,1819.0,Mar,2022,30.32,0.51
A Haber,"Zelenski Kanada Parlamentosuna seslendi! Zelenski: ""Şehirde, gıda su kalmamış durumda!""",2022-03-15 15:59:55+00:00,2109,33,7,Tuesday,545.0,Mar,2022,9.08,0.15
A Haber,Can Okanar ile Ajans / A Haber / 15.03.2022,2022-03-15 15:30:01+00:00,2418,22,6,Tuesday,5447.0,Mar,2022,90.78,1.51
A Haber,Mallarına el konulmuştu... İngiltere'de Rus oligarkın evini basıp pankart astılar!,2022-03-15 15:00:01+00:00,1575,24,9,Tuesday,90.0,Mar,2022,1.5,0.02
A Haber,Yastık altı altınlar ekonomiye nasıl kazandırılacak? Detaylar belli oldu...,2022-03-15 14:30:01+00:00,1597,8,3,Tuesday,239.0,Mar,2022,3.98,0.07
A Haber,Cansın Helvacı ile Ajans Bugün / A Haber / 15.03.2022,2022-03-15 14:00:17+00:00,9959,50,6,Tuesday,7844.0,Mar,2022,130.73,2.18
A Haber,Rusya'nın saldırısında top mermisi 16 katlı binaya isabet etti: 2 ölü,2022-03-15 13:30:10+00:00,906,9,3,Tuesday,693.0,Mar,2022,11.55,0.19
A Haber,"Başkan Erdoğan, Uluslararası İyilik Ödülleri töreninde konuştu",2022-03-15 13:13:55+00:00,1929,64,23,Tuesday,2059.0,Mar,2022,34.32,0.57
A Haber,"Başhekim, iş bırakan doktorlarla tartıştı! O anlar kameralara böyle yansıdı!",2022-03-15 13:00:11+00:00,18967,270,298,Tuesday,123.0,Mar,2022,2.05,0.03
A Haber,"NATO, 30 bin askerle Norveç'te tatbikat yapıyor",2022-03-15 12:30:01+00:00,4103,58,12,Tuesday,99.0,Mar,2022,1.65,0.03
A Haber,Esra Erol'da programında duygu dolu anlar! 27 yıllık hasret canlı yayında son buldu!,2022-03-15 12:15:03+00:00,4657,35,4,Tuesday,148.0,Mar,2022,2.47,0.04
A Haber,AK Parti'de Başkan Erdoğan ile toplantı sonrası açıklamalar,2022-03-15 12:00:02+00:00,1045,19,8,Tuesday,1627.0,Mar,2022,27.12,0.45
A Haber,Erkan Tan ile Sabah Ajansı / A Haber / 15.03.2022,2022-03-15 11:45:01+00:00,403,9,6,Tuesday,7894.0,Mar,2022,131.57,2.19
A Haber,Bakan Çavuşoğlu'ndan önemli açıklamalar: Tahliye için her iki tarafın da yardımını istedik,2022-03-15 11:26:05+00:00,2677,25,5,Tuesday,307.0,Mar,2022,5.12,0.09
A Haber,Şanlıurfa’da kaza yapan tır alev topuna döndü,2022-03-15 11:00:26+00:00,3610,22,3,Tuesday,65.0,Mar,2022,1.08,0.02
A Haber,Ukrayna'dan ilginç görüntü! Üstü açık lüks araca uçaksavar yerleştirdiler!,2022-03-15 10:30:02+00:00,16071,143,14,Tuesday,21.0,Mar,2022,0.35,0.01
A Haber,Macron'un kıyafeti sosyal medyada olay oldu! Macron'un Zelenskiy'e özendiği iddia edildi,2022-03-15 10:00:02+00:00,3475,37,14,Tuesday,118.0,Mar,2022,1.97,0.03
A Haber,Kiev'de yeniden siren sesleri! Rus ordusu başkentin kapısına dayandı,2022-03-15 09:30:05+00:00,2310,21,2,Tuesday,6067.0,Mar,2022,101.12,1.69
A Haber,MHP lideri Devlet Bahçeli: Cumhur ittifakı sağlık çalışanlarının destekçisidir,2022-03-15 09:01:18+00:00,1295,37,19,Tuesday,2822.0,Mar,2022,47.03,0.78
A Haber,"Esir alınan Rus askerinden Putin’e: Yoldaş Başkan, Rus askerleri ve sizin adınıza utanıyorum",2022-03-15 08:19:01+00:00,389842,4094,432,Tuesday,105.0,Mar,2022,1.75,0.03
A Haber,"Kiev'de yerleşim yerleri vuruldu, binalarda yangın çıktı!",2022-03-15 08:00:11+00:00,1759,26,1,Tuesday,60.0,Mar,2022,1.0,0.02
A Haber,"Ukrayna'daki son gelişmeler neler, harita ne anlatıyor?",2022-03-15 07:30:04+00:00,1640,41,5,Tuesday,2743.0,Mar,2022,45.72,0.76
A Haber,Başkan Recep Tayyip Erdoğan Kabineyi topluyor,2022-03-15 07:00:06+00:00,1921,53,13,Tuesday,171.0,Mar,2022,2.85,0.05
A Haber,"Başkan Erdoğan, Almanya Başbakanı Olaf Scholz'u kabul etti",2022-03-15 06:30:03+00:00,3440,79,19,Tuesday,190.0,Mar,2022,3.17,0.05
A Haber,"Yollar çarpışan araba pistine döndü, kazalar peş peşe geldi #Shorts",2022-03-15 05:57:45+00:00,1073,13,0,Tuesday,40.0,Mar,2022,0.67,0.01
A Haber,Can Okanar ile Ajans / A Haber / 14.03.2022,2022-03-14 15:30:06+00:00,2470,22,8,Monday,2811.0,Mar,2022,46.85,0.78
A Haber,Ukrayna'dan şoke eden görüntüler! Patlamayan bomba iş makinesi ile çıkarıldı,2022-03-14 15:00:24+00:00,2544,33,2,Monday,65.0,Mar,2022,1.08,0.02
A Haber,Cansın Helvacı ile Ajans Bugün / A Haber / 14.03.2022,2022-03-14 14:30:09+00:00,4170,37,4,Monday,10723.0,Mar,2022,178.72,2.98
A Haber,Milyonluk vurgun yapan çetenin üyeleri adliyeye sevk edildi,2022-03-14 13:39:26+00:00,2708,39,3,Monday,109.0,Mar,2022,1.82,0.03
